stat,value
full_hit_percentage,0.58 ± 0.00
single_hit_percentage,0.76 ± 0.01
mean_labels_assigned,1.19 ± 0.04
std_labels_assigned,0.65 ± 0.22
no_labels_assigned,5.67 ± 1.70
all_labels_assigned,0.00 ± 0.00
mean_total_duration,1.00 ± 0.14
mean_response_len,112.82 ± 22.02
std_response_len,215.59 ± 151.53
