stat,value
full_hit_percentage,0.66 ± 0.02
single_hit_percentage,0.82 ± 0.01
mean_labels_assigned,1.42 ± 0.11
std_labels_assigned,1.73 ± 0.29
no_labels_assigned,1.67 ± 0.47
all_labels_assigned,5.00 ± 1.41
mean_total_duration,1.39 ± 0.18
mean_response_len,183.81 ± 30.32
std_response_len,647.46 ± 67.69
