stat,value
full_hit_percentage,0.43 ± 0.01
single_hit_percentage,0.56 ± 0.02
mean_labels_assigned,0.74 ± 0.02
std_labels_assigned,0.59 ± 0.08
no_labels_assigned,56.33 ± 2.05
all_labels_assigned,0.00 ± 0.00
mean_total_duration,1.78 ± 0.02
mean_response_len,115.69 ± 3.68
std_response_len,172.36 ± 28.17
