stat,value
full_hit_percentage,0.19 ± 0.02
single_hit_percentage,0.25 ± 0.01
mean_labels_assigned,0.36 ± 0.01
std_labels_assigned,0.51 ± 0.02
no_labels_assigned,146.67 ± 0.94
all_labels_assigned,0.00 ± 0.00
mean_total_duration,4.96 ± 0.00
mean_response_len,734.35 ± 2.31
std_response_len,156.97 ± 2.32
