stat,value
full_hit_percentage,0.66 ± 0.00
single_hit_percentage,0.77 ± 0.01
mean_labels_assigned,1.22 ± 0.06
std_labels_assigned,1.18 ± 0.23
no_labels_assigned,1.00 ± 0.00
all_labels_assigned,2.00 ± 0.82
mean_total_duration,1.20 ± 0.09
mean_response_len,148.83 ± 14.88
std_response_len,387.08 ± 79.46
