stat,value
full_hit_percentage,0.59 ± 0.01
single_hit_percentage,0.69 ± 0.02
mean_labels_assigned,1.24 ± 0.02
std_labels_assigned,1.08 ± 0.12
no_labels_assigned,1.00 ± 0.00
all_labels_assigned,1.00 ± 0.00
mean_total_duration,0.86 ± 0.05
mean_response_len,96.72 ± 7.02
std_response_len,311.68 ± 53.37
