stat,value
full_hit_percentage,0.23 ± 0.00
single_hit_percentage,0.30 ± 0.00
mean_labels_assigned,0.39 ± 0.03
std_labels_assigned,0.58 ± 0.05
no_labels_assigned,126.00 ± 3.56
all_labels_assigned,0.00 ± 0.00
mean_total_duration,5.24 ± 0.04
mean_response_len,761.56 ± 8.90
std_response_len,149.91 ± 2.25
