stat,value
full_hit_percentage,0.08 ± 0.01
single_hit_percentage,0.15 ± 0.01
mean_labels_assigned,0.60 ± 0.01
std_labels_assigned,0.50 ± 0.01
no_labels_assigned,78.00 ± 1.63
all_labels_assigned,0.00 ± 0.00
mean_total_duration,4.60 ± 0.03
mean_response_len,653.10 ± 4.31
std_response_len,124.01 ± 3.38
