stat,value
full_hit_percentage,0.30 ± 0.01
single_hit_percentage,0.37 ± 0.01
mean_labels_assigned,0.50 ± 0.03
std_labels_assigned,0.54 ± 0.05
no_labels_assigned,110.33 ± 4.03
all_labels_assigned,0.00 ± 0.00
mean_total_duration,4.76 ± 0.03
mean_response_len,677.88 ± 6.42
std_response_len,162.40 ± 4.58
