stat,value
full_hit_percentage,0.13 ± 0.01
single_hit_percentage,0.16 ± 0.01
mean_labels_assigned,0.17 ± 0.01
std_labels_assigned,0.38 ± 0.01
no_labels_assigned,160.33 ± 2.36
all_labels_assigned,0.00 ± 0.00
mean_total_duration,4.68 ± 0.02
mean_response_len,650.94 ± 6.21
std_response_len,139.33 ± 9.13
