stat,value
full_hit_percentage,0.21 ± 0.00
single_hit_percentage,0.24 ± 0.01
mean_labels_assigned,0.37 ± 0.01
std_labels_assigned,0.52 ± 0.05
no_labels_assigned,138.67 ± 0.94
all_labels_assigned,0.00 ± 0.00
mean_total_duration,5.22 ± 0.04
mean_response_len,760.31 ± 6.93
std_response_len,139.59 ± 4.56
