stat,value
full_hit_percentage,0.34 ± 0.01
single_hit_percentage,0.44 ± 0.01
mean_labels_assigned,0.54 ± 0.01
std_labels_assigned,0.53 ± 0.02
no_labels_assigned,106.33 ± 0.47
all_labels_assigned,0.00 ± 0.00
mean_total_duration,4.57 ± 0.02
mean_response_len,646.47 ± 5.10
std_response_len,141.77 ± 4.76
