stat,value
full_hit_percentage,0.45 ± 0.01
single_hit_percentage,0.57 ± 0.02
mean_labels_assigned,0.87 ± 0.03
std_labels_assigned,0.54 ± 0.04
no_labels_assigned,44.67 ± 4.03
all_labels_assigned,0.00 ± 0.00
mean_total_duration,4.51 ± 0.07
mean_response_len,645.61 ± 12.57
std_response_len,161.07 ± 3.14
