stat,value
full_hit_percentage,0.75 ± 0.01
single_hit_percentage,0.85 ± 0.02
mean_labels_assigned,1.56 ± 0.03
std_labels_assigned,0.64 ± 0.01
no_labels_assigned,1.00 ± 0.82
all_labels_assigned,0.00 ± 0.00
mean_total_duration,2.32 ± 0.05
mean_response_len,370.67 ± 5.98
std_response_len,146.89 ± 1.69
