stat,value
full_hit_percentage,0.68 ± 0.01
single_hit_percentage,0.78 ± 0.01
mean_labels_assigned,1.94 ± 0.03
std_labels_assigned,0.90 ± 0.13
no_labels_assigned,0.00 ± 0.00
all_labels_assigned,0.00 ± 0.00
mean_total_duration,1.10 ± 0.06
mean_response_len,139.31 ± 8.42
std_response_len,190.02 ± 10.47
