stat,value
full_hit_percentage,0.79 ± 0.00
single_hit_percentage,0.91 ± 0.00
mean_labels_assigned,1.64 ± 0.03
std_labels_assigned,0.60 ± 0.01
no_labels_assigned,0.00 ± 0.00
all_labels_assigned,0.00 ± 0.00
mean_total_duration,2.06 ± 0.02
mean_response_len,320.70 ± 4.19
std_response_len,185.18 ± 4.67
