stat,value
full_hit_percentage,0.76 ± 0.01
single_hit_percentage,0.88 ± 0.01
mean_labels_assigned,1.63 ± 0.02
std_labels_assigned,0.56 ± 0.02
no_labels_assigned,1.33 ± 0.47
all_labels_assigned,0.00 ± 0.00
mean_total_duration,3.04 ± 0.04
mean_response_len,492.40 ± 5.47
std_response_len,140.51 ± 7.88
