stat,value
full_hit_percentage,0.64 ± 0.00
single_hit_percentage,0.76 ± 0.01
mean_labels_assigned,1.10 ± 0.03
std_labels_assigned,0.69 ± 0.07
no_labels_assigned,1.00 ± 1.41
all_labels_assigned,0.00 ± 0.00
mean_total_duration,1.25 ± 0.05
mean_response_len,154.69 ± 7.64
std_response_len,320.76 ± 12.75
