stat,value
full_hit_percentage,0.69 ± 0.00
single_hit_percentage,0.80 ± 0.01
mean_labels_assigned,1.91 ± 0.01
std_labels_assigned,0.71 ± 0.03
no_labels_assigned,0.00 ± 0.00
all_labels_assigned,0.00 ± 0.00
mean_total_duration,1.03 ± 0.06
mean_response_len,133.42 ± 9.88
std_response_len,187.83 ± 11.28
