stat,value
full_hit_percentage,0.18 ± 0.01
single_hit_percentage,0.26 ± 0.01
mean_labels_assigned,0.38 ± 0.01
std_labels_assigned,0.50 ± 0.01
no_labels_assigned,140.00 ± 1.41
all_labels_assigned,0.00 ± 0.00
mean_total_duration,5.23 ± 0.02
mean_response_len,772.98 ± 4.57
std_response_len,156.35 ± 3.21
