stat,value
full_hit_percentage,0.72 ± 0.01
single_hit_percentage,0.88 ± 0.01
mean_labels_assigned,1.45 ± 0.03
std_labels_assigned,0.85 ± 0.08
no_labels_assigned,0.00 ± 0.00
all_labels_assigned,0.67 ± 0.47
mean_total_duration,0.65 ± 0.03
mean_response_len,71.22 ± 4.71
std_response_len,181.94 ± 63.19
