stat,value
full_hit_percentage,0.60 ± 0.02
single_hit_percentage,0.70 ± 0.02
mean_labels_assigned,1.15 ± 0.05
std_labels_assigned,0.63 ± 0.40
no_labels_assigned,0.67 ± 0.47
all_labels_assigned,0.67 ± 0.94
mean_total_duration,0.79 ± 0.10
mean_response_len,83.84 ± 16.52
std_response_len,180.69 ± 122.11
