stat,value
full_hit_percentage,0.62 ± 0.01
single_hit_percentage,0.82 ± 0.01
mean_labels_assigned,1.14 ± 0.04
std_labels_assigned,0.65 ± 0.21
no_labels_assigned,1.67 ± 0.47
all_labels_assigned,0.33 ± 0.47
mean_total_duration,1.23 ± 0.05
mean_response_len,156.58 ± 9.05
std_response_len,273.65 ± 36.20
