stat,value
full_hit_percentage,0.70 ± 0.01
single_hit_percentage,0.88 ± 0.00
mean_labels_assigned,1.27 ± 0.03
std_labels_assigned,0.49 ± 0.02
no_labels_assigned,0.00 ± 0.00
all_labels_assigned,0.00 ± 0.00
mean_total_duration,1.40 ± 0.03
mean_response_len,197.57 ± 6.49
std_response_len,167.16 ± 5.51
