stat,value
full_hit_percentage,0.30 ± 0.01
single_hit_percentage,0.37 ± 0.00
mean_labels_assigned,0.73 ± 0.02
std_labels_assigned,0.65 ± 0.03
no_labels_assigned,76.00 ± 2.16
all_labels_assigned,0.00 ± 0.00
mean_total_duration,5.07 ± 0.03
mean_response_len,738.05 ± 4.37
std_response_len,149.86 ± 9.91
