stat,value
full_hit_percentage,0.13 ± 0.00
single_hit_percentage,0.16 ± 0.00
mean_labels_assigned,0.17 ± 0.01
std_labels_assigned,0.38 ± 0.01
no_labels_assigned,160.33 ± 1.89
all_labels_assigned,0.00 ± 0.00
mean_total_duration,5.19 ± 0.09
mean_response_len,761.75 ± 17.79
std_response_len,155.87 ± 1.47
