stat,value
full_hit_percentage,0.60 ± 0.03
single_hit_percentage,0.74 ± 0.01
mean_labels_assigned,1.31 ± 0.10
std_labels_assigned,0.71 ± 0.34
no_labels_assigned,2.67 ± 0.47
all_labels_assigned,0.67 ± 0.94
mean_total_duration,0.81 ± 0.13
mean_response_len,90.81 ± 21.64
std_response_len,152.40 ± 142.14
