stat,value
full_hit_percentage,0.77 ± 0.01
single_hit_percentage,0.89 ± 0.00
mean_labels_assigned,1.79 ± 0.00
std_labels_assigned,0.78 ± 0.01
no_labels_assigned,0.00 ± 0.00
all_labels_assigned,0.00 ± 0.00
mean_total_duration,0.74 ± 0.05
mean_response_len,90.17 ± 9.78
std_response_len,153.68 ± 15.69
