stat,value
full_hit_percentage,0.26 ± 0.01
single_hit_percentage,0.32 ± 0.01
mean_labels_assigned,0.64 ± 0.03
std_labels_assigned,0.62 ± 0.09
no_labels_assigned,85.00 ± 2.94
all_labels_assigned,0.00 ± 0.00
mean_total_duration,5.27 ± 0.03
mean_response_len,775.09 ± 5.37
std_response_len,136.81 ± 8.21
