stat,value
full_hit_percentage,0.42 ± 0.02
single_hit_percentage,0.57 ± 0.02
mean_labels_assigned,0.95 ± 0.02
std_labels_assigned,0.59 ± 0.01
no_labels_assigned,38.67 ± 2.62
all_labels_assigned,0.00 ± 0.00
mean_total_duration,2.05 ± 0.04
mean_response_len,153.79 ± 6.88
std_response_len,177.13 ± 6.67
